temperature_mean (°C),temperature_max (°C),temperature_min (°C),wind_speed_max (km/h),wind_gusts_max (km/h),rain_sum (mm),wind_gusts_mean (km/h),wind_speed_mean (km/h),wind_gusts_min (km/h),wind_speed_min (km/h),weather_code (wmo code),relative_humidity_mean (%),relative_humidity_max (%),relative_humidity_min (%),year_month,date,production volume,Waste_Bags,distribution_weight,normalized_weight,month,quarter,is_summer,is_winter,prod_prev_month,waste_prev_month,temp_prev_month,waste_per_unit_prod,evaporation_index,rain_prev_month,has_rain,rain_excess,prod_ma3,waste_ma3,temp_ma3,prod_volatility
24.82258064516129,29.26451612903226,21.567741935483877,18.39354838709677,35.222580645161294,2.761290322580645,23.69677419354839,12.196774193548388,14.558064516129033,7.580645161290323,29.451612903225808,79.80645161290323,93.64516129032258,60.064516129032256,2023-01,2023-01-31,39974.8,1115.1821956125864,0.2468176933844797,0.0482011668228123,1,1,0,1,,,,0.027896432231814906,0.2499064739566638,,1,0.0,39974.8,1115.1821956125864,24.82258064516129,
25.63214285714286,30.307142857142857,22.235714285714288,18.857142857142858,35.767857142857146,2.9,24.582142857142856,12.517857142857142,14.37142857142857,7.014285714285714,29.428571428571427,80.03571428571429,95.28571428571428,58.25,2023-02,2023-02-28,11642.6,821.4299912970104,0.1818029883604726,0.0355044083375263,2,1,0,1,39974.8,1115.1821956125864,24.82258064516129,0.07054776798387186,0.3402261103409297,2.761290322580645,1,0.0,25808.7,968.3060934547984,25.227361751152074,20033.890745933502
27.15806451612903,31.425806451612903,23.91935483870968,15.996774193548386,32.84193548387097,2.519354838709677,21.006451612903227,9.993548387096777,10.84516129032258,4.996774193548387,48.483870967741936,80.6774193548387,95.64516129032258,59.83870967741935,2023-03,2023-03-31,40048.8,1643.4399503898994,0.3637343380902168,0.0710338844393974,3,1,0,0,11642.6,821.4299912970104,25.63214285714286,0.04103491029642843,0.46842445495129537,2.9,1,0.0,30555.400000000005,1193.3507124331654,25.870929339477726,16379.007048047817
27.756666666666668,31.96,24.78666666666667,14.83,32.83,5.180000000000001,18.15333333333333,8.106666666666666,8.403333333333332,3.453333333333333,57.66666666666666,82.8,96.36666666666666,62.2,2023-04,2023-04-30,137438.7,3332.929601430084,0.7376606259266414,0.1440581605044123,4,2,0,0,40048.8,1643.4399503898994,27.15806451612903,0.024250122791523,0.4687327386395356,2.519354838709677,1,0.0,63043.366666666676,1932.5998477056646,26.848958013312853,65975.20190149732
28.21935483870968,30.467741935483872,26.258064516129032,20.40967741935484,39.32258064516129,4.854838709677419,28.783870967741933,15.029032258064516,18.60967741935484,9.890322580645162,51.45161290322581,83.35483870967742,91.83870967741936,73.48387096774194,2023-05,2023-05-31,44932.4,1850.4873042813483,0.4095590925652251,0.0799830266373335,5,2,0,0,137438.7,3332.929601430084,27.756666666666668,0.04118289077348583,0.5925511531086809,5.180000000000001,1,0.0,74139.96666666667,2275.6189520337775,27.71136200716846,54872.66731664623
28.363333333333333,30.24333333333333,26.75333333333333,26.37333333333333,49.81,2.803333333333333,39.23333333333333,20.90666666666667,28.80666666666667,15.79,50.53333333333333,81.3,88.4,72.93333333333334,2023-06,2023-06-30,47809.2,2038.1732374428489,0.4510986807023802,0.0880953162795145,6,2,1,0,44932.4,1850.4873042813483,28.21935483870968,0.0426305105906867,0.722546608452466,4.854838709677419,1,0.0,76726.76666666668,2407.19671438476,28.113118279569893,52597.748348796595
28.038709677419355,30.374193548387098,26.30967741935484,24.848387096774196,52.29032258064516,1.4838709677419355,41.49677419354838,20.15806451612903,30.85483870967742,15.74516129032258,38.61290322580645,78.45161290322581,87.54838709677419,66.74193548387096,2023-07,2023-07-31,137832.4,3628.081637061,0.8029851486089099,0.1568154234552645,7,3,1,0,47809.2,2038.1732374428489,28.363333333333333,0.026322224054989577,0.7366208559895479,2.803333333333333,1,0.0,76858.00000000001,2505.5807262617323,28.207132616487456,52824.96650334954
28.55483870967742,32.18387096774194,26.116129032258065,22.106451612903225,47.74193548387097,0.9064516129032256,36.596774193548384,17.4,24.96451612903226,12.790322580645162,24.161290322580644,74.70967741935483,87.74193548387096,56.516129032258064,2023-08,2023-08-31,140188.4,3983.097772292715,0.8815590928100467,0.1721601734220572,8,3,1,0,137832.4,3628.081637061,28.038709677419355,0.02841226064376276,0.840014644218496,1.4838709677419355,1,0.0,108610.0,3216.450882265521,28.318960573476705,52668.212846839604
27.28666666666667,29.673333333333336,25.22,24.986666666666668,51.88666666666666,7.06,38.67666666666666,18.916666666666668,26.10666666666667,13.346666666666666,56.93333333333333,81.23333333333333,90.9,70.16666666666667,2023-09,2023-09-30,54162.4,1885.9745615545576,0.4174133095883939,0.0815168811183678,9,3,0,0,140188.4,3983.097772292715,28.55483870967742,0.034820091825006505,0.5786313545212642,0.9064516129032256,1,0.8261290322580646,110727.73333333334,3165.7179903027572,27.960071684587813,49001.17738721523
26.316129032258065,29.76451612903226,23.916129032258063,16.119354838709675,35.645161290322584,9.935483870967742,22.41290322580645,10.093548387096773,12.461290322580645,5.52258064516129,59.516129032258064,86.45161290322581,95.93548387096774,71.0,2023-10,2023-10-31,20177.6,809.3726160054982,0.1791343898395939,0.034983256224304,10,4,0,0,54162.4,1885.9745615545576,27.28666666666667,0.04011044453061651,0.2537468662218243,7.06,1,3.701612903225807,71509.46666666667,2226.1483166175904,27.385878136200716,61857.40513967049
